theme,reading_order,authors,year,title,venue,doi,arxiv_id,cited_by_count,is_preprint,is_retracted,relevance_note
1. Classical MOS/EMOS/BMA foundations,,Harry R. Glahn et al.,1972,The Use of Model Output Statistics (MOS) in Objective Weather Forecasting,Journal of applied meteorology,10.1175/1520-0450(1972)011<1203:tuomos>2.0.co;2,,1102,False,False,Origin of MOS: regress observations on NWP output at station locations; defines the paradigm the whole field extends.
1. Classical MOS/EMOS/BMA foundations,3,Tilmann Gneiting et al.,2005,Calibrated Probabilistic Forecasting Using Ensemble Model Output Statistics and Minimum CRPS Estimation,Monthly Weather Review,10.1175/mwr2904.1,,1165,False,False,"EMOS / nonhomogeneous Gaussian regression. THE reference method for 2m temperature; single Gaussian with mean affine in members and variance affine in ensemble variance, fitted by minimum CRPS."
1. Classical MOS/EMOS/BMA foundations,,Adrian E. Raftery et al.,2005,Using Bayesian Model Averaging to Calibrate Forecast Ensembles,Monthly Weather Review,10.1175/mwr2906.1,,1969,False,False,"BMA: predictive distribution as weighted mixture of member-conditioned kernels. Main alternative to EMOS; heavier to fit, rarely better for T2m."
1. Classical MOS/EMOS/BMA foundations,,Tilmann Gneiting et al.,2007,"Strictly Proper Scoring Rules, Prediction, and Estimation",Journal of the American Statistical Association,10.1198/016214506000001437,,5659,False,False,Theory of proper scoring rules; why CRPS is the right training and verification target.
1. Classical MOS/EMOS/BMA foundations,,Tilmann Gneiting et al.,2007,"Probabilistic Forecasts, Calibration and Sharpness",Journal of the Royal Statistical Society Series B (Statistical Methodology),10.1111/j.1467-9868.2007.00587.x,,1788,False,False,Sharpness-subject-to-calibration paradigm; the evaluation philosophy behind all postprocessing benchmarks.
1. Classical MOS/EMOS/BMA foundations,,Laurence J. Wilson et al.,2007,Calibrated Surface Temperature Forecasts from the Canadian Ensemble Prediction System Using Bayesian Model Averaging,Monthly Weather Review,10.1175/mwr3347.1,,114,False,False,Early operational BMA for surface temperature over a large station network (Canada).
1. Classical MOS/EMOS/BMA foundations,,Renate Hagedorn et al.,2008,Probabilistic Forecast Calibration Using ECMWF and GFS Ensemble Reforecasts. Part I: Two-Meter Temperatures,Monthly Weather Review,10.1175/2007mwr2410.1,,187,False,False,"Reforecast-calibrated 2m temperature; quantifies how much of ensemble error is systematic and correctable, and how training length matters."
1. Classical MOS/EMOS/BMA foundations,,Thomas M. Hamill et al.,2008,Probabilistic Forecast Calibration Using ECMWF and GFS Ensemble Reforecasts. Part II: Precipitation,Monthly Weather Review,10.1175/2007mwr2411.1,,231,False,False,Companion precipitation study; contrast case for why temperature is the easy first variable.
1. Classical MOS/EMOS/BMA foundations,,Chris Fraley et al.,2009,Calibrating Multimodel Forecast Ensembles with Exchangeable and Missing Members Using Bayesian Model Averaging,Monthly Weather Review,10.1175/2009mwr3046.1,,153,False,False,Handling exchangeable and MISSING ensemble members - directly relevant to gappy station/member archives.
2. Field reviews,,Wentao Li et al.,2017,A review on statistical postprocessing methods for hydrometeorological ensemble forecasting,Wiley Interdisciplinary Reviews Water,10.1002/wat2.1246,,259,False,False,"Hydrometeorological postprocessing review; complementary taxonomy, more on precipitation and multivariate structure."
2. Field reviews,,Daniel S. Wilks,2018,Univariate Ensemble Postprocessing,Elsevier eBooks,10.1016/b978-0-12-812372-0.00003-0,,51,False,False,Wilks' textbook chapter on univariate ensemble postprocessing - the cleanest formal treatment of EMOS/BMA/logistic regression.
2. Field reviews,1,Stéphane Vannitsem et al.,2020,"Statistical Postprocessing for Weather Forecasts: Review, Challenges, and Avenues in a Big Data World",Bulletin of the American Meteorological Society,10.1175/bams-d-19-0308.1,,198,False,False,"The field review. Read first: taxonomy of methods, verification practice, and open problems."
"3. Extending classical models (boosting, standardized anomalies, time/space structure)",,Michael Scheuerer et al.,2013,"Gridded, locally calibrated, probabilistic temperature forecasts based on ensemble model output statistics",Quarterly Journal of the Royal Meteorological Society,10.1002/qj.2323,,26,False,False,"Gridded, locally calibrated probabilistic temperature via EMOS - the station-to-grid extrapolation problem."
"3. Extending classical models (boosting, standardized anomalies, time/space structure)",,Kira Feldmann et al.,2014,Spatial postprocessing of ensemble forecasts for temperature using nonhomogeneous Gaussian regression,Monthly Weather Review,10.1175/MWR-D-14-00210.1,1407.0058,0,False,False,Spatial extension of NGR for temperature with locally adaptive climatology; Gaussian random field vs ECC for spatial dependence.
"3. Extending classical models (boosting, standardized anomalies, time/space structure)",,Jakob W. Messner et al.,2016,Nonhomogeneous Boosting for Predictor Selection in Ensemble Postprocessing,Monthly Weather Review,10.1175/mwr-d-16-0088.1,,78,False,False,Boosting for predictor selection inside nonhomogeneous regression: how to add many predictors to EMOS without overfitting. The strongest classical benchmark in Rasp and Lerch.
"3. Extending classical models (boosting, standardized anomalies, time/space structure)",11,Markus Dabernig et al.,2016,Spatial ensemble post‐processing with standardized anomalies,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.2975,,74,False,False,"SAMOS: standardized anomalies let ONE model be fitted across many stations at once, removing site and seasonal effects. Key precursor to pooled training."
"3. Extending classical models (boosting, standardized anomalies, time/space structure)",,Manuel Gebetsberger et al.,2018,Estimation Methods for Nonhomogeneous Regression Models: Minimum Continuous Ranked Probability Score versus Maximum Likelihood,Monthly Weather Review,10.1175/mwr-d-17-0364.1,,49,False,False,Estimation choices for nonhomogeneous regression: minimum CRPS vs maximum likelihood. Matters for small per-station samples.
"3. Extending classical models (boosting, standardized anomalies, time/space structure)",,Annette Möller et al.,2019,Probabilistic Temperature Forecasting with a Heteroscedastic Autoregressive Ensemble Postprocessing model,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.3667,1903.06739,0,False,False,Heteroscedastic autoregressive EMOS for temperature: explicit treatment of error autocorrelation in time.
"3. Extending classical models (boosting, standardized anomalies, time/space structure)",,Moritz N. Lang et al.,2020,Remember the past: a comparison of time-adaptive training schemes for non-homogeneous regression,Nonlinear processes in geophysics,10.5194/npg-27-23-2020,,66,False,False,Time-adaptive training schemes for NGR on central-European 2m temperature; how to handle seasonality without a long archive.
"3. Extending classical models (boosting, standardized anomalies, time/space structure)",,David Jobst et al.,2024,Time‐series‐based ensemble model output statistics for temperature forecasts postprocessing,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.4844,,4,False,False,"Time-series EMOS for temperature with seasonality, trend and autoregressive error structure."
4. Operational systems,,Reinhold Hess,2020,Statistical postprocessing of ensemble forecasts for severe weather at Deutscher Wetterdienst,Nonlinear processes in geophysics,10.5194/npg-27-473-2020,,42,False,False,"DWD's operational Ensemble-MOS: what a national service actually runs, and how they treat extremes."
4. Operational systems,,Maxime Taillardat et al.,2020,From research to applications – examples of operational ensemble post-processing in France using machine learning,Nonlinear processes in geophysics,10.5194/npg-27-329-2020,,63,False,False,"Meteo-France operational ML postprocessing at industrial scale, incl. station-based temperature then interpolation to grid."
4. Operational systems,,Kaisa Ylinen et al.,2020,Operational statistical postprocessing of temperature ensemble forecasts with station‐specific predictors,Meteorological Applications,10.1002/met.1971,,2,False,False,Operational station-specific EMOS-type calibration of ECMWF ENS temperature to 240 h over Europe (FMI). Closest operational analogue to the user's setup.
4. Operational systems,,Nigel Roberts et al.,2023,IMPROVER: The New Probabilistic Postprocessing System at the Met Office,Bulletin of the American Meteorological Society,10.1175/bams-d-21-0273.1,,47,False,False,"IMPROVER, the Met Office probabilistic postprocessing system - the framework used in the AIFS postprocessing test below."
5. Machine-learning postprocessing,2,Maxime Taillardat et al.,2016,Calibrated Ensemble Forecasts Using Quantile Regression Forests and Ensemble Model Output Statistics,Monthly Weather Review,10.1175/mwr-d-15-0260.1,,260,False,False,"QRF postprocessing: nonparametric, arbitrary predictors, no distributional assumption. Beat EMOS on Meteo-France PEARP temperature and wind."
5. Machine-learning postprocessing,4,Stephan Rasp et al.,2018,Neural networks for post-processing ensemble weather forecasts,Monthly Weather Review,10.1175/MWR-D-18-0187.1,1805.09091,0,False,False,THE anchor. Distributional regression network for 2m temperature at German stations; introduces STATION EMBEDDINGS in a single globally-pooled network.
5. Machine-learning postprocessing,,John Bjørnar Bremnes,2019,Ensemble Postprocessing Using Quantile Function Regression Based on Neural Networks and Bernstein Polynomials,Monthly Weather Review,10.1175/mwr-d-19-0227.1,,84,False,False,Bernstein quantile network: neural net outputs a flexible quantile function rather than Gaussian parameters. Standard BQN benchmark.
5. Machine-learning postprocessing,,Maxime Taillardat et al.,2019,Forest-Based and Semiparametric Methods for the Postprocessing of Rainfall Ensemble Forecasting,Weather and Forecasting,10.1175/waf-d-18-0149.1,,47,False,False,Forest-based and semiparametric postprocessing (rainfall); shows how tree methods handle the non-Gaussian case.
5. Machine-learning postprocessing,5,Benedikt Schulz et al.,2021,Machine learning methods for postprocessing ensemble forecasts of wind gusts: A systematic comparison,Monthly Weather Review,10.1175/MWR-D-21-0150.1,2106.09512,0,False,False,"The honest benchmark: 8 methods (EMOS, MBM, IDR, gradient-boosted EMOS, QRF, DRN, BQN, HEN) on 175 German stations, 6 years. Best single source for realistic skill ordering."
5. Machine-learning postprocessing,,Peter Grönquist et al.,2021,Deep learning for post-processing ensemble weather forecasts,Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences,10.1098/rsta.2020.0092,,201,False,False,Deep learning postprocessing on gridded fields; encoder-decoder view rather than station view.
5. Machine-learning postprocessing,,Emy Alerskans et al.,2022,A transformer neural network for predicting <scp>near‐surface</scp> temperature,Meteorological Applications,10.1002/met.2098,,35,False,False,"Transformer postprocessing of 2m temperature trained on >1000 private weather stations; reports bias/STD for raw NWP, LR, NN and transformer. Coastal dependence noted."
5. Machine-learning postprocessing,,Kevin Höhlein et al.,2023,Postprocessing of Ensemble Weather Forecasts Using Permutation-invariant Neural Networks,Artificial Intelligence for the Earth Systems,10.1175/AIES-D-23-0070.1,2309.04452,5,False,False,Permutation-invariant networks treat the ensemble as an unordered SET rather than summary statistics; finds most information sits in few ensemble degrees of freedom.
5. Machine-learning postprocessing,,Francesco Zanetta et al.,2023,Physics-Constrained Deep Learning Postprocessing of Temperature and Humidity,Artificial Intelligence for the Earth Systems,10.1175/aies-d-22-0089.1,,7,False,False,Physics-constrained deep-learning postprocessing enforcing thermodynamic consistency between temperature and humidity; advantage largest when DATA ARE SCARCE.
